,listing_id,price_amt,price_avg_nightly,price_fees,price_rent,latitude,longitude,city,state,country,review_count,review_average,bathrooms,bedrooms,listing_url,book_with_confidence,crime_score
313,v1547163,3000.0,375.0,,3000.0,33.7339362,-84.35882600000001,Atlanta,GA,US,0,0.0,2.0,3,https://www.vrbo.com/1547163?unitId=2106910,True,18
314,v1372797,1492.0,186.5,,1492.0,33.71121178,-84.36265184,Atlanta,GA,US,0,0.0,2.0,3,https://www.vrbo.com/1372797?unitId=1931150,True,13
315,v1550675,1261.4,157.68,,1261.4,33.81881659,-84.39207026,Atlanta,GA,US,0,0.0,1.0,1,https://www.vrbo.com/1550675?unitId=2110433,True,7
316,v1535601,1440.0,180.0,,1440.0,33.76354218,-84.43190825,Atlanta,GA,US,1,3.0,2.0,4,https://www.vrbo.com/1535601?unitId=2095280,True,38
317,v1568537,480.0,60.0,,480.0,33.72257287,-84.49351413,Atlanta,GA,US,0,0.0,1.0,1,https://www.vrbo.com/1568537?unitId=2129684,True,5
318,7559808,1520.0,190.0,,1520.0,33.75019311,-84.46859228,Atlanta,GA,US,0,0.0,1.0,3,https://www.homeaway.com/vacation-rental/p7559808?uni_id=6985017,True,72
319,v1468110,1600.0,200.0,,1600.0,33.795362,-84.36402238,Atlanta,GA,US,0,0.0,1.0,1,https://www.vrbo.com/1468110?unitId=2026718,True,66
320,10185782,1936.23,242.03,,1936.23,33.7719459,-84.366527,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.co.uk/p10185782?uni_id=5210278,False,132
321,10185812,1643.23,205.4,,1643.23,33.8389631,-84.3784363,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.co.uk/p10185812?uni_id=5210308,False,59
322,10185801,1456.05,182.01,,1456.05,33.7727676,-84.3657582,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.co.uk/p10185801?uni_id=5210297,False,132
323,10185756,1538.65,192.33,,1538.65,33.7672883,-84.3507082,Atlanta,GA,US,0,0.0,1.0,2,https://www.homeaway.co.uk/p10185756?uni_id=5210252,False,74
324,10185809,2111.78,263.97,,2111.78,33.7605838,-84.36612650000001,Atlanta,GA,US,0,0.0,3.0,3,https://www.homeaway.co.uk/p10185809?uni_id=5210305,False,132
325,v1570005,2650.0,331.25,,2650.0,33.75130961,-84.41635856,Atlanta,GA,US,0,0.0,2.0,3,https://www.vrbo.com/1570005?unitId=2131181,True,21
326,v1544468,1030.0,128.75,,1030.0,33.71383205,-84.41164994,Atlanta,GA,US,0,0.0,2.0,4,https://www.vrbo.com/1544468?unitId=2104202,True,59
327,7390433,792.0,99.0,,792.0,33.72381897,-84.54721217,Atlanta,GA,US,0,0.0,1.0,2,https://www.homeaway.com/vacation-rental/p7390433?uni_id=6760441,True,9
328,7598325,928.2,116.03,,928.2,33.69393868,-84.37452929999999,Atlanta,GA,US,0,0.0,2.0,4,https://www.homeaway.com/vacation-rental/p7598325?uni_id=7042871,True,19
329,7689041,1414.8,176.85,,1414.8,33.76051841,-84.36912747,Atlanta,GA,US,0,0.0,3.0,3,https://www.homeaway.com/vacation-rental/p7689041?uni_id=7152893,True,132
330,7517081,881.0,110.13,,881.0,33.80618509,-84.41297342,Atlanta,GA,US,0,0.0,1.0,0,https://www.homeaway.com/vacation-rental/p7517081?uni_id=6929676,True,23
331,v1295441,1600.0,200.0,,1600.0,33.767401899999996,-84.3218885,Atlanta,GA,US,1,5.0,2.0,1,https://www.vrbo.com/1295441?unitId=1846590,True,10
332,v1618327,874.8,109.35,,874.8,33.76840089,-84.38334705,Atlanta,GA,US,0,0.0,1.0,1,https://www.vrbo.com/1618327?unitId=2179626,True,512
333,v1607069,1000.0,125.0,,1000.0,33.74716651,-84.47943874,Atlanta,GA,US,0,0.0,1.0,2,https://www.vrbo.com/1607069?unitId=2168365,True,8
334,7630625,1600.0,200.0,,1600.0,33.73060322,-84.40266290000001,Atlanta,GA,US,0,0.0,2.0,3,https://www.homeaway.com/vacation-rental/p7630625?uni_id=7078773,True,85
